ID,캐릭터이름,대사
1,장미,아 이제 막 잠에서 깼어... 미안해 내 머리가 온통 헝클어져 있어서…
2,어린왕자,눈부시게 아름다워...
3,장미,그래? 난 해와 같은 시간에 태어났으니까 그런거야~
,,혹시 앞으로 내가 잘 자랄 수 있도록 나를 돌봐주지 않을래?
4,어린왕자,그래! 내가 어떻게 도와줄 수 있을까?
5,장미, 행성을 잘 관리하면 나를 잘 자랄 수 있게 하는 아이템을 얻을 수 있을거야~
6,내레이션,어린왕자의 행성에는 골치 아픈 나쁜 씨앗이 있다. 바로 바오밥나무의 씨앗이다.
,,이 씨앗을 방치한다면 뿌리를 내려 행성에 구멍을 뚫어버린다.
,,그러다보면 결국 행성은 산산조각이 나기에 바오밥나무의 씨앗은 보이는 족족 뽑아 버려야 한다.
7,내레이션,어린왕자의 행성에는 불을 뿜는 화산이 있고 이를 아침 식사를 데우는 데 아주 편리하게 이용하고 있다.
,,화산을 잘 청소해 놓으면 폭발하지 않고 조용히 규칙적으로 타오른다.
8,장미,"이제는 이런 도움은 됐어, 이 행성은 너무 춥고 환경도 안좋아..."
,,혹시 유리덮개를 가지고 있다면 가져다 줘
9,어린왕자,후... 이 꽃은 참 까다롭구나
,,이젠 너무 힘들어... 이곳에서 떠나고 싶어... 잘있어... 나는 갈게
