ID,캐릭터이름,대사
1,어린왕자,이제 길들여진다는게 무슨 뜻인지 말해줄래?
2,여우,‘관계를 만든다' 는 뜻이야
,,너는 내게 아직 수많은 다른 소년과 다를 게 없는 작은 소년에 지나지 않아
,,그래서 난 네가 필요하지도 않지
,,하지만 네가 나를 길들이면 우리는 서로에게 필요한 존재가 될 거야! 
,,세상에서 단 하나밖에 없는 존재가 되는 거지...
3,어린왕자,무슨 말인지 알 것 같아 내가 살던 행성에 꽃 한송이가 있는데 그 꽃이 나를 길들인 것 같아…
4,여우,부탁할게 나를 길들여줘!
,,날마다 조금씩 더 가까이 내 쪽으로 다가와 앉아줘. 그래서 나의 친구가 되어줘!
,,너가 나를 길들이면 난 행복해질거야.
,,다른 발걸음 소리가 들리면 난 땅 밑으로 숨겠지만 너의 발소리는 땅속의 나를 불러낼거야…
5,내레이션,여우를 쓰다듬고 길들여 보세요.
6,내레이션 ,어느덧 떠날 시간이 가까워져 왔다.
7,여우,너와 나는 친구가 되었고` 나는 너에게 세상에 단 하나밖에 없는 여우가 되었어
,,내가 너에게 소중해진건 네가 나를 위해 쓴 시간 때문이야…
,,너는 이제 네 행성의 장미꽃이 세상에 단 하나밖에 없는 꽃이라는 걸 알게 될 거야
,,넌 자신이 길들인 것에 항상 책임감을 가져야 해
,,너의 행성으로 돌아가 너의 장미꽃을 책임져야 해…
8,어린왕자,그래 이제 갈게…
9,내레이션 ,새로운 곳으로의 여행을 떠나세요.
